VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc
1984BADGER,6,BADGER,1984,no,Forest,"USF,NPS",LNF,25.71,450,79,17.5,34,19840718,0,0.009344321
1984YNP_023,1, ,1984,yes,Forest,NPS,YNP,0,299,10,3.2,4,19840000,19840000,0.02754335
1985BARTLETT,29,BARTLETT,1985,yes,Forest,NPS,YNP,0,427,88,20.7,70,19850725,19851110,0.011226786
1985BUCK,31,BUCK,1985,yes,Forest,NPS,YNP,0,141,24,17.2,11,19850809,19851110,0.02071825
1985CAENF00000066,21,1985CAENF00000066,1985,no,Forest,USF,ENF,42.04,129,43,33.6,37,19850810,19850812,0.007471913
1985CAINF00000070,22,1985CAINF00000070,1985,no,Forest,USF,INF,88.54,87,5,5.8,1,19850817,19850817,0.028726918
1985CALNF00000031,24,1985CALNF00000031,1985,no,Forest,USF,LNF,98.81,89,42,47,42,19850717,19850720,0.011126674
1985CALNF00000069,25,1985CALNF00000069,1985,no,Forest,USF,LNF,99.98,217,127,58.4,121,19851020,19851024,0.005133481
1985DELTA,33,DELTA,1985,no,Forest,USF,SHF,5.64,848,401,47.3,386,19850718,19850721,0.001919988
1985DOUGHERTY,34,DOUGHERTY,1985,yes,Forest,NPS,KNP,0,1072,79,7.4,26,19850625,19851013,0.014472851
1985KENDRICK,37,KENDRICK,1985,yes,Forest,NPS,YNP,0,507,30,5.9,6,19850725,19850000,0.022775036
1985MAMMOTH,40,MAMMOTH,1985,no,Forest,USF,SNF,70.7,316,29,9.3,29,19850702,19850704,0.008397389
1985PATE_VALLEY,42,PATE VALLEY,1985,no,Forest,NPS,YNP,0,713,138,19.3,77,19850630,19850707,0.007822315
1985RICH_BAR,43,RICH BAR,1985,no,Forest,USF,SQF,79.38,3295,1307,39.7,507,19850628,19850630,0.008740373
1985RIVER,44,RIVER,1985,no,Forest,USF,STF,100,134,8,6.2,5,19850831,19850902,0.02543544
1985TRELOAR_CMPLX,48,TRELOAR COMPLEX,1985,no,Forest,USF,SHF,100,1612,243,15.1,115,19850726,19850806,0.009764466
1986CAENF00000082,52,1986CAENF00000082,1986,no,Forest,USF,ENF,99.95,239,24,10.1,22,19861029,19861105,0.008843297
1986CASCADE_CREEK,58,CASCADE CREEK,1986,yes,Forest,NPS,YNP,0,837,16,1.9,7,19860727,19860922,0.023857586
1986DEER,59,DEER,1986,no,Forest,USF,SNF,100,5349,1204,22.5,206,19860909,19860920,0.006639721
1986GLACIER_POINT,61,GLACIER POINT,1986,no,Forest,NPS,YNP,0,278,122,43.8,98,19860627,19860701,0.005321624
1987ASSIST_PNF,71,ASSIST P.N.F.,1987,no,Forest,CDF,LMU,63.24,499,244,49,201,19870831,0,0.003251492
1987BEAR,72,BEAR,1987,no,Forest,USF,SHF,97.58,2132,147,6.9,35,19870830,19870914,0.011754454
1987BEARCAT,73,BEARCAT,1987,no,Forest,USF,KNF,94.96,1157,40,3.4,16,19870830,19870918,0.015811959
1987BETTY_BLAKE,74,BETTY BLAKE,1987,yes,Forest,NPS,YNP,0,159,16,9.8,13,19870717,19871120,0.014884094
1987BIG,75,BIG,1987,no,Forest,USF,TNF,72.3,427,37,8.6,18,19870831,19870906,0.009157064
1987BLAKE,76,BLAKE,1987,no,Forest,USF,SRF,99.5,1413,345,24.4,281,19870830,19870905,0.00512675
1987CEDAR,78,CEDAR,1987,no,Forest,USF,MDF,83.26,283,29,10.3,10,19870901,19870912,0.018898434
1987CHAWANAKEE,79,CHAWANAKEE,1987,no,Forest,USF,SNF,100,713,48,6.7,12,19870622,19870626,0.019332547
1987CHINA_KNF,81,CHINA,1987,no,Forest,USF,KNF,96.11,1332,112,8.4,25,19870830,0,0.012048355
1987CHINA_SHF,82,CHINA,1987,no,Forest,USF,SHF,100,3696,726,19.6,380,19870830,19871013,0.005601785
1987CLARK,129,PLUMAS NF #531 (CLARK),1987,no,Forest,CDF,BTU,73.47,15861,5351,33.7,781,19870830,19870905,0.005707101
1987CLAVEY_CMPLX,83,CLAVEY 87 CMPLX,1987,no,Forest,USF,STF,98.1,3537,708,20,324,19870831,19871012,0.008684927
