VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,max_tmmx,max_tmmn,min_rmax,max_bi
1984BADGER,6,BADGER,1984,no,Forest,"USF,NPS",LNF,25.71,450,79,17.5,34,19840718,19840725,0.009344321,28.70098267,12.74944458,68.92581177,59.49795914
1984YNP_023,1, ,1984,yes,Forest,NPS,YNP,0,299,10,3.2,4,19840000,19840007,0.02754335,NA,NA,NA,NA
1985BARTLETT,29,BARTLETT,1985,yes,Forest,NPS,YNP,0,427,88,20.7,70,19850725,19851110,0.011226786,28.90178833,13.29064331,35.165802,74.7640152
1985BUCK,31,BUCK,1985,yes,Forest,NPS,YNP,0,141,24,17.2,11,19850809,19851110,0.02071825,24.42339478,9.006219482,36.91925812,82.74609375
1985CAENF00000066,21,1985CAENF00000066,1985,no,Forest,USF,ENF,42.04,129,43,33.6,37,19850810,19850812,0.007471913,27.33760986,12.25328979,43.81917572,59.51740646
1985CAINF00000070,22,1985CAINF00000070,1985,no,Forest,USF,INF,88.54,87,5,5.8,1,19850817,19850817,0.028726918,23.65447388,8.136193848,79.45603943,76.2245636
1985CALNF00000031,24,1985CALNF00000031,1985,no,Forest,USF,LNF,98.81,89,42,47,42,19850717,19850720,0.011126674,31.39144287,11.91173706,39.5692215,68.8177948
1985CALNF00000069,25,1985CALNF00000069,1985,no,Forest,USF,LNF,99.98,217,127,58.4,121,19851020,19851024,0.005133481,15.37017212,-1.314245605,100,35.86201477
1985DELTA,33,DELTA,1985,no,Forest,USF,SHF,5.64,848,401,47.3,386,19850718,19850721,0.001919988,37.90740356,21.31832275,43.86848831,60.11606216
1985DOUGHERTY,34,DOUGHERTY,1985,yes,Forest,NPS,KNP,0,1072,79,7.4,26,19850625,19851013,0.014472851,22.12032471,11.8517395,21.62211227,64.21749115
1985KENDRICK,37,KENDRICK,1985,yes,Forest,NPS,YNP,0,507,30,5.9,6,19850725,19850802,0.022775036,26.09401855,12.50716553,54.58298874,66.31278229
1985MAMMOTH,40,MAMMOTH,1985,no,Forest,USF,SNF,70.7,316,29,9.3,29,19850702,19850704,0.008397389,34.25432739,18.25127563,40.31203079,60.96097183
1985PATE_VALLEY,42,PATE VALLEY,1985,no,Forest,NPS,YNP,0,713,138,19.3,77,19850630,19850707,0.007822315,27.9850708,14.02453003,23.12340355,65.84786987
1985RICH_BAR,43,RICH BAR,1985,no,Forest,USF,SQF,79.38,3295,1307,39.7,507,19850628,19850630,0.008740373,37.42775879,18.77169189,30.23918915,69.30818176
1985RIVER,44,RIVER,1985,no,Forest,USF,STF,100,134,8,6.2,5,19850831,19850902,0.02543544,31.47286377,13.79836426,42.61491394,59.79338074
1985TRELOAR_CMPLX,48,TRELOAR COMPLEX,1985,no,Forest,USF,SHF,100,1612,243,15.1,115,19850726,19850806,0.009764466,36.88924561,17.06389771,33.54780579,64.24932861
1986CAENF00000082,52,1986CAENF00000082,1986,no,Forest,USF,ENF,99.95,239,24,10.1,22,19861029,19861105,0.008843297,23.06389771,7.586755371,26.08640862,48.95159531
1986CASCADE_CREEK,58,CASCADE CREEK,1986,yes,Forest,NPS,YNP,0,837,16,1.9,7,19860727,19860922,0.023857586,25.44707642,11.2506958,37.01305008,67.5946579
1986DEER,59,DEER,1986,no,Forest,USF,SNF,100,5349,1204,22.5,206,19860909,19860920,0.006639721,28.0703064,11.64296875,39.06091309,58.54458237
1986GLACIER_POINT,61,GLACIER POINT,1986,no,Forest,NPS,YNP,0,278,122,43.8,98,19860627,19860701,0.005321624,28.65029297,12.39595947,41.96704483,57.73493576
1987ASSIST_PNF,71,ASSIST P.N.F.,1987,no,Forest,CDF,LMU,63.24,499,244,49,201,19870831,19870908,0.003251492,33.72567139,15.93905029,39.24704361,75.07154083
1987BEAR,72,BEAR,1987,no,Forest,USF,SHF,97.58,2132,147,6.9,35,19870830,19870914,0.011754454,39.74337158,15.71843872,51.44564056,64.66539001
